Velocity (m/s),Range (km)
20.0,3869.601711895545
21.01010101010101,3969.677677438574
22.02020202020202,4033.8774892443894
23.03030303030303,4067.163388584239
24.04040404040404,4074.5714316584067
25.050505050505052,4060.8588322355145
26.060606060606062,4030.304890006145
27.070707070707073,3986.6254364767124
28.080808080808083,3932.9626771034036
29.090909090909093,3871.919819095746
30.101010101010104,3805.618488428946
31.111111111111114,3735.7644792383176
32.121212121212125,3663.7131300793
33.131313131313135,3590.5296244863844
34.141414141414145,3517.042102298255
35.151515151515156,3443.8870291099956
36.161616161616166,3371.547137474172
37.17171717171718,3300.3826776301653
38.18181818181819,3230.6568739473287
39.1919191919192,3162.55649209612
40.20202020202021,3096.208354117421
41.21212121212122,3031.692537698217
42.22222222222223,2969.0528868577985
43.23232323232324,2908.3053569670146
44.24242424242424,2849.444623640844
45.25252525252525,2792.4493046500857
46.26262626262626,2737.2860765360138
47.27272727272727,2683.912911980106
48.282828282828284,2632.2816186593323
49.292929292929294,2582.3398237108677
50.303030303030305,2534.0325185415995
51.313131313131315,2487.3032552241934
52.323232323232325,2442.095066994812
53.333333333333336,2398.3511704690786
54.343434343434346,2356.0154953534548
55.35353535353536,2315.033078026205
56.36363636363637,2275.3503478953426
57.37373737373738,2236.915329510534
58.38383838383839,2199.6777786940957
59.3939393939394,2163.589267210312
60.40404040404041,2128.6032275124758
61.41414141414142,2094.674966734987
62.42424242424243,2061.76165720816
63.43434343434344,2029.822309267108
64.44444444444446,1998.8177309245923
65.45454545454547,1968.7104780189466
66.46464646464648,1939.4647976827841
67.47474747474749,1911.046567367063
68.48484848484848,1883.4232311671672
69.4949494949495,1856.5637348081502
70.5050505050505,1830.4384603355975
71.51515151515152,1805.019161310931
72.52525252525253,1780.278899112817
73.53535353535354,1756.1919807897934
74.54545454545455,1732.733898785022
75.55555555555556,1709.8812727560703
76.56565656565657,1687.611793635396
77.57575757575758,1665.9041700167954
78.58585858585859,1644.7380769061176
79.5959595959596,1624.0941068382751
80.60606060606061,1603.9537233349815
81.61616161616162,1584.2992166568695
82.62626262626263,1565.1136617883776
83.63636363636364,1546.380878582837
84.64646464646465,1528.0853939877159
85.65656565656566,1510.2124062651853
86.66666666666667,1492.7477511205252
87.67676767676768,1475.6778696498852
88.68686868686869,1458.989778019186
89.6969696969697,1442.6710387871872
90.70707070707071,1426.709733787724
91.71717171717172,1411.0944384885981
92.72727272727273,1395.814197747489
93.73737373737374,1380.8585028883847
94.74747474747475,1366.2172700252934
95.75757575757576,1351.8808195633817
96.76767676767678,1337.8398568110554
97.77777777777779,1324.0854536398635
98.7878787878788,1310.6090311324049
99.7979797979798,1297.4023431616367
100.80808080808082,1284.4574608481005
101.81818181818183,1271.766757844577
102.82828282828284,1259.3228964005546
103.83838383838385,1247.118814161653
104.84848484848486,1235.1477116617498
105.85858585858587,1223.4030404680368
106.86868686868688,1211.8784919416034
107.87878787878789,1200.5679865783493
108.8888888888889,1189.4656638971487
109.89898989898991,1178.5658728441542
110.90909090909092,1167.8631626840163
111.91919191919193,1157.35227435053
112.92929292929294,1147.0281322308851
113.93939393939395,1136.8858363592556
114.94949494949496,1126.9206549969024
115.95959595959597,1117.1280175773618
116.96969696969697,1107.503507996542
117.97979797979798,1098.0428582287934
118.98989898989899,1088.7419422511189
120.0,1079.5967702587689
